entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Gillian Lasel,2,0,2,Antoine Dareus,0.5,2,,med,ext_uploader:Antoine Dareus
Cortheon Jarrett,2,0,2,Siarra Krell,1.0,1,6898,high,ext_uploader:Siarra Krell
Rainier Aiden Maximilian,2,0,2,Tokoga,0.5,2,8189,med,ext_uploader:Tokoga
Alina te Danaan,2,0,2,Crestian Tarasar,0.5,2,5921,med,ext_uploader:Crestian Tarasar
Jek Mirden,2,0,2,Vextin Mandor,0.5,2,,med,ext_uploader:Vextin Mandor
Cassie Monoseer,2,0,2,Danik Kreldin,0.5,2,8061,med,ext_uploader:Danik Kreldin
Racra Krullrusc,2,0,2,Tyy'sun Eson,1.0,1,3655,high,ext_uploader:Tyy'sun Eson
Vito Zarl,2,0,2,Morganna Tazecks,0.5,2,,med,ext_uploader:Morganna Tazecks
Paulus Lazrus,2,0,2,Krieg Inrokana,1.0,1,3692,high,ext_uploader:Krieg Inrokana
Jarl Rellik,2,0,2,Jessalyn Valios,0.5,2,3146,med,ext_uploader:Jessalyn Valios
Lotus Blackpool,2,0,2,Simone Drake,1.0,1,,high,ext_uploader:Simone Drake
Aranzael Moyat,2,0,2,Rasi Praddhan Cen,0.5,2,1050,med,ext_uploader:Rasi Praddhan Cen
Ashden Keldrona,2,0,2,Krieg Inrokana,0.5,2,3692,med,ext_uploader:Krieg Inrokana
Doron Rtufo,2,0,2,Simone Drake,1.0,1,,high,ext_uploader:Simone Drake
Decrevi Cristescu,2,0,2,Ja'casha,0.5,2,,med,ext_uploader:Ja'casha
Zrak'Hroun,2,0,2,Zrak'Hroun,1.0,1,,high,self(player)
Piper,1,746,1,Tsaran Joir,1.0,1,,med,ext_uploader:Tsaran Joir
Dante,1,615,0,,0,0,,none,no_author_signal
Vengan,1,545,0,,0,0,,none,no_author_signal
Caiton,1,378,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
Alistair,1,245,1,Tyy'sun Eson,1.0,1,3655,med,ext_uploader:Tyy'sun Eson
Kyo,1,216,1,Jessalyn Valios,1.0,1,3146,med,ext_uploader:Jessalyn Valios
Vermillion,1,193,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Di'anCecht,1,170,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Kaitlin,1,141,1,Ewan Dain,1.0,1,,med,ext_uploader:Ewan Dain
Priti,1,124,1,Cort Stasus,1.0,1,11999,med,ext_uploader:Cort Stasus
Dionysis,1,105,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Burrachacca,1,105,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Racra,1,89,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Breecia,1,87,1,Jamon Grendine,1.0,1,,med,ext_uploader:Jamon Grendine
Shikh,1,86,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Keifan,1,81,0,,0,0,,none,no_author_signal
Siva,1,74,1,Violet Allure,1.0,1,,med,ext_uploader:Violet Allure
N'Saldon,1,71,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Kendell,1,64,1,Simone Drake,1.0,1,,med,ext_uploader:Simone Drake
Prashk,1,63,1,Athena,1.0,1,7787,med,ext_uploader:Athena
Harlock,1,61,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Maethor,1,59,0,,0,0,,none,no_author_signal
Steyl,1,59,1,Paul Nighman,1.0,1,,med,ext_uploader:Paul Nighman
Soren,1,56,1,Simon Sezirok,1.0,1,7077,med,ext_uploader:Simon Sezirok
Loki,1,56,1,Jal'Dana Rall,1.0,1,8802,med,ext_uploader:Jal'Dana Rall
Mojo,1,56,1,Athena,1.0,1,7787,med,ext_uploader:Athena
Raven,1,54,1,Antoine Dareus,1.0,1,,med,ext_uploader:Antoine Dareus
