variant,player,dbref,db_type,source
Ander Dar,Darryn,4708,player,token
Andra,,,unresolved,two-part
Andra Eleria,,,unresolved,two-part
Andrev Cassius,,,unresolved,two-part
Aned Kirkland,,,unresolved,two-part
Angalun Faust,,,unresolved,two-part
Angel Dust copilot,,,unresolved,two-part
Angel Dust pilot,,,unresolved,two-part
Ansforth,Ansforth,10920,player,exact
Ansforth Nicodemus,Ansforth,10920,player,token
Antal Brencis,,,unresolved,two-part
Antan Malika,,,unresolved,two-part
Antoine Dareus,,,unresolved,two-part
Antra Silverthorn,,,unresolved,two-part
Anzon Gr'vish,,,unresolved,two-part
Ara,,,unresolved,two-part
Ara te Danaan,Johanna,,annotation,annotation
Aramis Tyrese,,,unresolved,two-part
Arands,Arands,2444,player,exact
Aranzael Moyat,,,unresolved,two-part
Aren,Jaren,3387,player,fuzzy
Arenth Dubois,,,unresolved,two-part
Argon Brand,Argon,2398,player,full_name
Ariana Millikin,,,unresolved,two-part
Ariana Seri,,,unresolved,two-part
Ariani,,,unresolved,two-part
Arise Omondra,Arise,7341,player,full_name
Arissa Kiiko,Arissa,2104,player,full_name
Armstrong,,,unresolved,two-part
Ash,Nitisha,5060,player,alias
Ash Seneal,Nitisha,5060,player,token
Ashby Williams,,,unresolved,two-part
Ashden Keldrona,,,unresolved,two-part
Ashton Van Sen,Vance,3336,player,token
Askra Sho'bre,,,unresolved,two-part
Askrut Melan'lya,,,unresolved,two-part
Asli Nayana,,,unresolved,two-part
Athahk,,8817,thing,exact-thing
Athan Cole,,,unresolved,two-part
Athena,Athena,7787,player,exact
Atsvara,,,unresolved,two-part
Atsvara Tarasar,,12102,thing,exact-thing
Attibecca,,,unresolved,two-part
Aubrey Saralyn,,,unresolved,two-part
Auntie Maya,,,unresolved,two-part
Auo,,,unresolved,two-part
Aurejin,,,unresolved,two-part
Aurelia Silabar,Aurelia,9880,player,token
Auxin Valerius,Valerius,418,player,full_name
Avalyshaar Dusten,Avy,573,player,token
Avitar,,,unresolved,two-part
Axel,Axel,9768,player,exact
Axel Vichten,Axel,9768,player,full_name
Ayaka,,,unresolved,two-part
Ayra,Mayra,9795,player,fuzzy
Azya,Azya,7316,player,exact
Azya Aguilira,Azya,7316,player,token
Azya McTavish,Azya,7316,player,token
B'ric Toppe,,,unresolved,two-part
Ba'hob,,,unresolved,two-part
Bacharan Valak,Valak,4031,player,full_name
Baedan Mirhoz,,,unresolved,two-part
Bail Organa Command,,,unresolved,two-part
Bailey Sora Laran,Bailey,2793,player,full_name
Balak,,,unresolved,two-part
Ban Fleming,Korynn,11044,player,token
Barakzai,Barakzai,3439,player,exact
Baral Heram,,,unresolved,two-part
Barnacle Bill,Bill,7721,player,alias
Barnacle Bill (Billious Qarrack),Bill,7721,player,token
Barrien Thrask,Thrask,8285,player,full_name
Barvareedee,,,unresolved,two-part
Basca Starker,,,unresolved,two-part
Bastirio,,,unresolved,two-part
Bavon Nass,,,unresolved,two-part
Bazil,Bazil,9199,player,exact
Bazil McKenzie,Bazil,9199,player,token
Beatrix Mara,Beatrix,8688,player,token
"Beaubos ""Skeezix"" Calhoun",Skeezix,,annotation,annotation
Beaubos Calhoun,Skeezix,,annotation,annotation
Bec Ga'lec,Bec,5228,player,full_name
Ben Jawatha,Benjawa,7696,player,token
Benelek,,,unresolved,two-part
Benjamin Jawatha,Benjawa,7696,player,full_name
Benji,,,unresolved,two-part
Besk Fel'ney,,,unresolved,two-part
Bias,,,unresolved,two-part
Biff,,,unresolved,two-part
Biff Shelkin,,,unresolved,two-part
Bil Faan,,,unresolved,two-part
Billious Qarrack,,,unresolved,two-part
Blake Hishinko,,,unresolved,two-part
Blake Lorent,,,unresolved,two-part
Blake Lorrent,,,unresolved,two-part
Blulurbgloblurb Druze,Druze,5306,player,full_name
Bob the Rodian,Bob,4113,player,token
Boba Fett,Boba_Fett,8672,player,exact
Bochek,,,unresolved,two-part
Bodan Akigga,Bodan,7627,player,full_name
Boo-T,,,unresolved,two-part
Bossil Perlee,,,unresolved,two-part
Bourne,,,unresolved,two-part
Braal Vey'la,,,unresolved,two-part
Brackett Benduday,,,unresolved,two-part
Brain,,6232,thing,exact-thing
Brandis Finian,Brandis,2057,player,token
Breecia,,,unresolved,two-part
Brek Halsmer,Brek,11828,player,full_name
Bren,Brenn,12006,player,fuzzy
Bren Senzi,,,unresolved,two-part
Brin Harper,Kalna,8648,player,full_name
Bronwyn,,,unresolved,two-part
Bruce Mach,Bruce,4569,player,token
Bruno,,,unresolved,two-part
Bruno Ringoire,,,unresolved,two-part
Burrachacca,,,unresolved,two-part
C-3PO,,6368,thing,exact-thing
C4,,,unresolved,two-part
Cade,Cade,7472,player,exact
Cade Katon,Cade,7472,player,token
Cade Vaughan,Cade,7472,player,token
Caiton,,,unresolved,two-part
Caliph Ashirael Rhannak,Rhannak,2768,player,full_name
Calyx Drogyn,Drogyn,11195,player,full_name
Camrath Kizuka,Kizuka,1222,player,full_name
Captain Cunha,,,unresolved,two-part
Captain Dauthless,,,unresolved,two-part
Captain Diggs,Bazil,,annotation,annotation
Captain Durjan,,,unresolved,two-part
Captain Lofte,,,unresolved,two-part
Captain Stone,Stone,7083,player,token
Carlist Rieekan,,,unresolved,two-part
Carmella Rise,,,unresolved,two-part
Cas Mos,,,unresolved,two-part
Cassie Monoseer,,,unresolved,two-part
Cassius,,,unresolved,two-part
Casul Nettic,,,unresolved,two-part
Cataleya,Cataleya,8461,player,exact
Celo'gnaritas'Subnoto,,,unresolved,two-part
Cerdle,,,unresolved,two-part
Cernious Vry'lya,,,unresolved,two-part
Cerridan Shaerlati,,,unresolved,two-part
Chaboub,,,unresolved,two-part
Chakuro,Chakuro,231,player,exact
Chanera Ruai Thorn,Chana,9493,player,full_name
Chantinelle Thistleborn,,,unresolved,two-part
Chapman,,,unresolved,two-part
Chase,Chase,9436,player,exact
Chef,,,unresolved,two-part
Cheko,,,unresolved,two-part
Cherish,,11532,thing,exact-thing
Chess Hutz,,,unresolved,two-part
Chewbacca,Chewbacca,4816,player,exact
Chez'na,Chez'na,11317,player,exact
Chez'na Navul'nu,Chez'na,11317,player,token
Chongatakiee,,,unresolved,two-part
Chool Ndresi,,,unresolved,two-part
Cirah,,,unresolved,two-part
Clarise,,,unresolved,two-part
Claven,,,unresolved,two-part
Co'Libri,,,unresolved,two-part
Coda,,,unresolved,two-part
Cole,,,unresolved,two-part
Coleman,,,unresolved,two-part
Colin,,,unresolved,two-part
Collier,,,unresolved,two-part
Colonel Desson,,,unresolved,two-part
Colonel Harless,,,unresolved,two-part
Colonel Imral,,,unresolved,two-part
Colonel V1C3,,,unresolved,two-part
Comdore,,,unresolved,two-part
